# OP-6 / M3-a block-RG bond-form test of H_1 in 1D
# N = 4096, lam = 1.0, J = 1.0
# beta_list = [0.3, 0.5, 0.7, 1.0, 1.5, 2.0, 3.0]
# m2_list = [-1.0, 0.0, 1.0, 2.0, 3.0]
# block_sizes = [1, 2, 4, 8, 16]

# Block size B = 1
# beta   m2      <Phi_B>   chi_B     xi2_B     K_B       K_err
  1.5000e+00  3.0000e+00  2.2234e-01  4.9407e-02  1.3623e+01  2.7572e+02  1.7341e+03
  2.0000e+00  -1.0000e+00  2.8018e+00         nan         nan         nan         nan
  2.0000e+00  0.0000e+00  1.7151e+00  6.4903e-01  2.5993e+02  4.0049e+02  3.2710e+02
  2.0000e+00  1.0000e+00  6.1218e-01         nan         nan         nan         nan
  2.0000e+00  2.0000e+00  2.7760e-01  8.1700e-02  2.1079e+02  2.5800e+03  1.5769e+03
  2.0000e+00  3.0000e+00  1.7540e-01  3.1438e-02  7.0660e+01  2.2476e+03  6.4836e+03
  3.0000e+00  -1.0000e+00  2.8459e+00         nan         nan         nan         nan
  3.0000e+00  0.0000e+00  1.8262e+00  4.0248e-01  4.8490e+02  1.2048e+03  8.0039e+02
  3.0000e+00  1.0000e+00  6.5060e-01  3.2804e-01  8.2645e+01  2.5194e+02  4.5882e+02
  3.0000e+00  2.0000e+00  2.1307e-01         nan         nan         nan         nan
  3.0000e+00  3.0000e+00  1.2423e-01  1.6696e-02  9.1607e+00  5.4868e+02  3.8027e+03
# B = 2 fit: K_B = 3.2218e+02 * <Phi_B>^-0.5456 ± 0.2680  (n = 20)

# Block size B = 4
# beta   m2      <Phi_B>   chi_B     xi2_B     K_B       K_err
  3.0000e-01  -1.0000e+00  1.9741e+00  1.0403e+00  7.8212e+01  7.5181e+01  4.6750e+01
  3.0000e-01  0.0000e+00  1.4717e+00  6.7285e-01  4.9302e+01  7.3274e+01  5.4666e+01
  3.0000e-01  1.0000e+00  1.1383e+00  4.5545e-01  5.2866e+00  1.1608e+01  4.1209e+01
  3.0000e-01  2.0000e+00  9.1015e-01         nan         nan         nan         nan
  3.0000e-01  3.0000e+00  7.4960e-01  2.3785e-01  9.7012e+01  4.0787e+02  1.4266e+02
  5.0000e-01  -1.0000e+00  2.0196e+00         nan         nan         nan         nan
  5.0000e-01  0.0000e+00  1.3021e+00         nan         nan         nan         nan
  5.0000e-01  1.0000e+00  8.9869e-01         nan         nan         nan         nan
  5.0000e-01  2.0000e+00  6.6507e-01  1.7914e-01  1.8058e+01  1.0080e+02  2.5705e+02
  5.0000e-01  3.0000e+00  5.2028e-01  1.1790e-01  6.4273e+01  5.4513e+02  1.8296e+02
  7.0000e-01  -1.0000e+00  2.2265e+00  8.4469e-01  4.5184e+01  5.3492e+01  5.6742e+01
  7.0000e-01  0.0000e+00  1.2687e+00  5.0770e-01  1.7698e+01  3.4859e+01  3.1638e+01
  7.0000e-01  1.0000e+00  7.8159e-01  2.3678e-01  4.9349e+01  2.0842e+02  1.6333e+02
  7.0000e-01  2.0000e+00  5.3976e-01         nan         nan         nan         nan
  7.0000e-01  3.0000e+00  4.0505e-01  7.3801e-02  2.1232e+01  2.8770e+02  3.1468e+02
  1.0000e+00  -1.0000e+00  2.5443e+00  6.5245e-01  5.4418e+01  8.3405e+01  1.3968e+02
  1.0000e+00  0.0000e+00  1.3307e+00         nan         nan         nan         nan
  1.0000e+00  1.0000e+00  6.8955e-01         nan         nan         nan         nan
  1.0000e+00  2.0000e+00  4.3163e-01         nan         nan         nan         nan
