cycle,category,l1_count,l2_count,folder_status,date,verdict,evidence_l1,evidence_l2
op-GWTC3-reanalysis,INTENTIONAL_PROJECTION,1,11,paused,2026-05-07,?,phase deviation,ppE|β_ppE
op-ppE-mapping,INTENTIONAL_PROJECTION,0,14,paused,2026-05-07,?,,ppE|β_ppE
