cycle,category,l1_count,l2_count,folder_status,date,verdict,evidence_l1,evidence_l2
op-Phi-decomposition-photon-2026-05-07,STRUCTURAL_OR_OTHER,0,0,active,2026-05-07,?,,
op-Phi0-spatial-variation-predictions-2026-05-09,STRUCTURAL_OR_OTHER,0,0,closed-resolved,2026-05-09,?,,
op-phi1-substrate-action-variational,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-pi1-bb0nu-nme-isotope,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-psi1-substrate-light-acceleration,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-Q2-vacuum-budget-2026-05-10,STRUCTURAL_OR_OTHER,1,0,closed-resolved,2026-05-10,STRUCTURAL_DERIVED,w_eff,
op-quantum-closure,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-rho1-71Ge-cross-section,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-sc-alpha-origin,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-sigma-3PN-radiative-2026-05-09,STRUCTURAL_OR_OTHER,0,1,?,2026-05-09,?,,ppE
op-sigma-yukawa-audit-2026-05-09,STRUCTURAL_OR_OTHER,1,0,?,2026-05-09,?,Hz,
op-sigma1-substrate-light-dispersion,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-SPIN-MAG-leakage-lean-hypothesis-2026-05-07,STRUCTURAL_OR_OTHER,0,0,parking,2026-05-07,?,,
op-SPIN-SU2-substrate-derivation-2026-05-08,STRUCTURAL_OR_OTHER,1,0,closed-resolved,2026-05-08,?,phase shift,
op-T34-normalization-amendment-2026-05-09,STRUCTURAL_OR_OTHER,0,1,?,2026-05-09,?,,β_ppE
op-tau1-closure-overlap-coulomb,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-tau2-substrate-time-coupling,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
