cycle,category,l1_count,l2_count,folder_status,date,verdict,evidence_l1,evidence_l2
metric_ansatz,MIXED_L1_L2_HEAVY_PROJECTION,2,7,paused,2026-05-03,?,mas,PPN
op-recovery-V-mPhi-parametric-analysis-2026-05-09,MIXED_L1_L2_HEAVY_PROJECTION,3,21,closed-superseded,2026-05-09,?,H_0,β_ppE|γ_PPN|β_PPN|PPN
