gen,g0,A_tail,B_tail,C_tail,phase_rad,phase_deg,dist_B_eq_C,dist_B_eq_C_over_A,abs_C_over_A,abs_B_over_A,delta_from_pi4_deg,rmse_tail
e,1.249150170057281,0.2991703333268449,0.004547706549493901,0.29913576634704714,1.5555946800988232,89.129009802666,0.20830521473943805,0.6962763066211639,0.9998844571939558,0.015201061211258244,44.129009802666005,0.001508707640358958
mu,2.0211674322053916,1.128024228962506,0.22857446093842415,-1.1046231832318045,-1.3667507988256544,-78.30905241884383,0.9427130948546985,0.8357206083434516,0.9792548376800164,0.20263258099398648,-123.30905241884382,0.024241190859258754
tau,3.2703176022626725,2.383423408875666,1.9471743256068972,-1.3744887382855575,-0.6146673201034969,-35.217843246547154,2.348770477295239,0.9854608579191668,0.5766867662569221,0.8169653442001894,-80.21784324654715,0.15453683404207408
