gen,g0,A_tail,B_tail,C_tail,phase_rad,phase_deg,dist_B_eq_C,dist_B_eq_C_over_A,abs_C_over_A,abs_B_over_A,delta_from_pi4_deg,rmse_tail
e,1.249150170057281,0.2988232312226876,0.004295375644571003,0.2987923581125191,1.556421528826252,89.17638474504344,0.20824081334206188,0.6968695589362583,0.9998966843707492,0.014374302918135651,44.176384745043435,0.0016393447567847194
mu,2.0211674322053916,1.1331440612948744,0.23346574142454177,-1.1088323638985882,-1.3632764825486032,-78.10998875947519,0.9491480926478397,0.8376234982542489,0.9785449191972073,0.20603359219634804,-123.10998875947519,0.02541650508568526
tau,3.2703176022626725,2.3697510267636965,1.9982209005895795,-1.2739046908205354,-0.5675514546992364,-32.51830301077658,2.313742194580134,0.9763650984635074,0.5375690004701767,0.8432197636046579,-77.51830301077658,0.19482640092303322
