gen,band,r_lo,r_hi,zeta,rms_h
e,win_20_35,20.0,35.0,0.057332885112194226,0.008106482202661237
e,win_25_32,25.0,32.0,0.031895587255495156,0.007177741716020693
mu,win_20_35,20.0,35.0,0.10834534509459663,0.031077604246031513
mu,win_25_32,25.0,32.0,0.09679555930681726,0.026838501468965822
tau,win_20_35,20.0,35.0,0.2957553410971301,0.06449766106384897
tau,win_25_32,25.0,32.0,0.21663606424884888,0.05915613944541281
