beta,softening,lambda_max
4.0000000000000001e-02,2.9999999999999999e-07,2.4396621695385918e+00
4.0000000000000001e-02,9.9999999999999995e-07,2.3190785482294443e+00
4.0000000000000001e-02,3.0000000000000001e-06,2.7394730188000640e+00
8.0000000000000002e-02,2.9999999999999999e-07,1.9379104369730948e+00
8.0000000000000002e-02,9.9999999999999995e-07,1.5939278906997965e+00
8.0000000000000002e-02,3.0000000000000001e-06,1.6943778971335055e+00
1.2000000000000000e-01,2.9999999999999999e-07,2.0098863785400103e+00
1.2000000000000000e-01,9.9999999999999995e-07,2.0469337078280079e+00
1.2000000000000000e-01,3.0000000000000001e-06,2.0585478826205112e+00
