t_final,dt,n_quad,renorm_every,seed,lambda_max,steps
3.5000000000000000e+00,5.9999999999999998e-02,12,10,1660,2.7642347237647344e+00,58
3.5000000000000000e+00,5.9999999999999998e-02,18,10,1660,2.7643074492130686e+00,58
3.5000000000000000e+00,4.4999999999999998e-02,12,10,1660,3.0047744078445033e+00,77
3.5000000000000000e+00,4.4999999999999998e-02,18,10,1660,3.0048634798736038e+00,77
3.5000000000000000e+00,2.9999999999999999e-02,12,10,1660,3.4415411177789039e+00,116
3.5000000000000000e+00,2.9999999999999999e-02,18,10,1660,3.4417067915276696e+00,116
