soft,beta,gamma,n_quad,t_final,dt,renorm_every,H_N_ref,branch,H_model,lambda_max,steps
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Newton v=0,-1.2816666666666134e+01,2.8025417995889595e-01,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Yukawa v=0,-2.0017958852248205e+02,3.6189205248707510e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Yukawa H=H_N,-1.2816666666666094e+01,4.1314115020823641e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Coulomb v=0,-3.7102505614661413e+02,4.0866813165717693e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Coulomb H=H_N,-1.2816666666666151e+01,2.9367444528632789e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Pairwise v=0,-1.8152865164570466e+02,5.6587285066818485e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Pairwise H=H_N,-1.2816666666666094e+01,2.8076473931496064e+00,40
