soft,beta,gamma,n_quad,t_final,dt,lf_save_every,rk_n_output,rtol,atol,lf_max_tol,newton_rk_max_tol,H_N_ref,branch,lf_max_abs_dE_E0,rk_max_abs_dE_E0,rk_success
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.0000000000000001e-01,1.4999999999999999e-02,2,80,1.0000000000000001e-09,9.9999999999999994e-12,1.7000000000000001e-02,1.0000000000000000e-03,-1.2816666666666134e+01,Newton,1.9723377026238488e-04,2.4352133953325233e-04,1
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.0000000000000001e-01,1.4999999999999999e-02,2,80,1.0000000000000001e-09,9.9999999999999994e-12,1.7000000000000001e-02,1.0000000000000000e-03,-1.2816666666666134e+01,yukawa_feynman,1.2866904851608166e-02,1.4842541067034665e-09,1
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.0000000000000001e-01,1.4999999999999999e-02,2,80,1.0000000000000001e-09,9.9999999999999994e-12,1.7000000000000001e-02,1.0000000000000000e-03,-1.2816666666666134e+01,coulomb_3b,2.0893187456765354e-03,1.7823148280180319e-08,1
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.0000000000000001e-01,1.4999999999999999e-02,2,80,1.0000000000000001e-09,9.9999999999999994e-12,1.7000000000000001e-02,1.0000000000000000e-03,-1.2816666666666134e+01,pairwise V2,1.3923856634209151e-02,6.6379955715048017e-10,1
