soft,beta,gamma,n_quad,t_final,dt,renorm_every,H_N_ref,branch,H_model,lambda_max,steps
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Newton,-1.2816666666666134e+01,2.8139722601559636e-01,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,yukawa_feynman,-1.2816666666666094e+01,3.0070340664344606e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,coulomb_3b,-1.2816666666666151e+01,3.1629551779371661e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,pairwise V2,-1.2816666666666094e+01,1.5153154867141940e+00,40
