gen,band,median_R_cross_over_Vp,max_R_cross_over_Vp,p99_R_cross_over_Vp,median_R_cross_over_h,n_points
e,win_20_35,0.015715229525789423,12.542731428298612,1.5275351993415238,0.01576391579785478,750
e,win_25_32,0.019487432541839947,12.542731428298612,1.7488144666988403,0.019503180574603967,350
mu,win_20_35,0.0594314376595676,34.30922357904751,4.678780992628353,0.05784991562232862,750
mu,win_25_32,0.07689002370318648,34.30922357904751,5.444878217962418,0.07598967068405836,350
tau,win_20_35,0.14868500918630523,109.29165413519321,12.230172735081279,0.13940255085199604,750
tau,win_25_32,0.12550828123901242,63.809209288194445,9.383067584506419,0.1259389739354953,350
