t_final,dt,n_quad,renorm_every,seed,lambda_max,steps
3.5000000000000000e+00,5.9999999999999998e-02,12,10,1660,2.4627967563035815e+00,58
3.5000000000000000e+00,5.9999999999999998e-02,18,10,1660,2.4628416764954717e+00,58
3.5000000000000000e+00,4.4999999999999998e-02,12,10,1660,2.5879103918677666e+00,77
3.5000000000000000e+00,4.4999999999999998e-02,18,10,1660,2.5879602338641923e+00,77
3.5000000000000000e+00,2.9999999999999999e-02,12,10,1660,2.7568412371791031e+00,116
3.5000000000000000e+00,2.9999999999999999e-02,18,10,1660,2.7569079223174575e+00,116
