gen,band,r_lo,r_hi,A_tail,rmse_tail,rmse_over_A,zeta,rms_h
e,win_20_35,20.0,35.0,0.2988232312226876,0.0016393447567847194,0.005486001707688699,0.057332885112194226,0.008106482202661237
e,win_25_32,25.0,32.0,0.2990467893380573,0.0015072435999399147,0.0050401597799334735,0.031895587255495156,0.007177741716020693
mu,win_20_35,20.0,35.0,1.1331440612948744,0.02541650508568526,0.02243007394544444,0.10834534509459663,0.031077604246031513
mu,win_25_32,25.0,32.0,1.1285864274015212,0.0239588061828148,0.021229039798022393,0.09679555930681726,0.026838501468965822
tau,win_20_35,20.0,35.0,2.3697510267636965,0.19482640092303322,0.08221386918823377,0.2957553410971301,0.06449766106384897
tau,win_25_32,25.0,32.0,2.385508700391077,0.13689913757515965,0.05738781734592567,0.21663606424884888,0.05915613944541281
