r_L,r_R,width,max_rmse_over_A,max_mean_abs_g1,max_dphi_vs_ref_rad,pass_all,skip
22.5,35.5,13.0,0.060094182811626796,0.05122873024010173,0.04353382847624321,True,False
22.5,37.0,14.5,0.062351000098171724,0.050494322926995364,0.0554295784077814,True,False
22.5,38.5,16.0,0.0623071054217512,0.04960341447663259,0.06228041586663435,True,False
24.0,32.5,8.5,0.05513283574812045,0.05517280360011959,0.028042410740132695,True,False
24.0,34.0,10.0,0.054537495817300864,0.05484115333401424,0.03707975189302726,True,False
24.0,35.0,11.0,0.05552770117449697,0.05476176123244161,0.043282286676251225,True,False
24.0,35.5,11.5,0.0606459055360115,0.05284188924355621,0.05474950939891965,True,False
24.0,37.0,13.0,0.06181196098389354,0.0518366088939236,0.06721812430494456,True,False
24.0,38.5,14.5,0.06131011240076124,0.05071468033142727,0.0741093721886883,True,False
25.5,34.0,8.5,0.054680342186427026,0.049836335036021084,0.039683871692292705,True,False
25.5,35.0,9.5,0.05603836674264596,0.050271230318199425,0.047008739975536784,True,False
25.5,35.5,10.0,0.06154265683241369,0.04828790407669334,0.058978024945868235,True,False
25.5,37.0,11.5,0.06215865774726383,0.04774549826843857,0.07079106836913684,True,False
25.5,38.5,13.0,0.0616923940920268,0.0469661676362871,0.07831196931462081,True,False
