g0,A_reg,B_reg,C_reg,rmse_reg,A_sub,B_sub,C_sub,rmse_sub,rel_dA,dphi_rad
1.1,0.1104392314202878,-0.004630182634488148,0.11034212815364389,0.00021985778912633134,0.10367610322992964,0.003742693282633117,0.10360852584577757,0.00020747921307329625,0.06123845759683341,0.07804516356129598
1.1067988675013019,0.11855589370352328,-0.0050145492448369095,0.11844979623330812,0.0002535245453985365,0.11099836266511637,0.004251436248952846,0.11091691396787863,0.00023786003236130792,0.06374656545803013,0.0806207062903288
1.1135977350026038,0.12673273726872483,-0.0053703556875515195,0.12661890054574323,0.00028990898924322766,0.11835603665426582,0.004789854291607551,0.11825907452864276,0.0002705609788289076,0.06609736990606466,0.08286906635407698
1.1203966025039056,0.1349671961718985,-0.005690714904849346,0.13484717203699698,0.00032904744037856625,0.12575103099292478,0.00535868128121469,0.12563680324932613,0.00030511489048726747,0.06828448275116956,0.08480251788485658
1.1271954700052074,0.14325674918678188,-0.005968709809791846,0.14313235375264052,0.00037098456922078215,0.13318088021156627,0.005955617561014831,0.13304765113820874,0.0003422997197517493,0.07033434049294555,0.08640966685289819
1.1339943375065094,0.1515997410664362,-0.006197315568675521,0.15147301664373347,0.00041554502784142173,0.14064695163039304,0.006581003222626563,0.1404929015982868,0.0003818024702828022,0.07224807482516264,0.08769888635204691
1.1407932050078111,0.15999228458124456,-0.006369681380160332,0.15986543805538828,0.00046318730231098055,0.14814925709874144,0.0072342369733139865,0.14797252513329268,0.0004236960201443423,0.07402249123137686,0.08867311382377596
1.1450980392156864,0.16533112081498783,-0.006446524615431653,0.16520539286089522,0.0004948640470762822,0.15291833136845281,0.007662038206617866,0.1527262558927975,0.0004514612580854272,0.07507836023458295,0.08912790054707066
1.1475920725091129,0.16843277766497622,-0.006478726906358785,0.16830813019462884,0.0005137572071863879,0.1556880285685729,0.007914859023073614,0.1554867108347644,0.00046799110004756936,0.07566668004343825,0.08933412080830205
1.1543909400104149,0.17691896965900336,-0.006517393577649732,0.17679888406366528,0.0005672947169261342,0.16326341677875716,0.008622345700390582,0.1630355740717256,0.0005147217491363524,0.07718535161360109,0.0896836940452368
1.1611898075117166,0.18544866857202238,-0.006478581135163354,0.18533547059753808,0.0006238380018981658,0.17087557313051824,0.009356164845792651,0.17061923593798398,0.0005639221152446315,0.0785829068157716,0.08972339449143707
1.1679886750130184,0.19401969906509536,-0.006355150954790716,0.1939155890630044,0.0006834346532713593,0.17852430663795632,0.010115539882678985,0.17823749300706904,0.0006157236179950154,0.07986504721842806,0.08945338306016759
1.1747875425143204,0.20262993738800833,-0.00613991749639514,0.20253689278500753,0.0007461304254778665,0.1862101774847198,0.010900199763680757,0.1858908707925236,0.0006700452706947054,0.08103323780753563,0.088876336315997
1.1815864100156221,0.21127741776226064,-0.005825622065363714,0.21119708658937594,0.0008119359233220081,0.1939332993114111,0.01170955825578603,0.19357946902309583,0.0007269328868724632,0.08209168132850794,0.08799288023333962
1.188385277516924,0.2199601368188578,-0.005404962382262693,0.2198937201718525,0.0008808835464995229,0.20169738977104645,0.012545473156575532,0.20130685071236668,0.0007854152524101715,0.08302753086051735,0.08681459468964303
1.1901960784313725,0.2222783718250224,-0.00527405084149839,0.22221579369816227,0.0008997806938017493,0.2037707085098793,0.012771503005617624,0.20337008225792627,0.0008016845162243378,0.08326344647563079,0.08644642085320009
1.1951841450182257,0.22867613161850328,-0.004870574651061435,0.2286242565314789,0.000953003307751968,0.2094957015998637,0.013402669127923303,0.20906653832946712,0.0008474758866299041,0.08387595978157437,0.08532020700691478
1.2019830125195277,0.23742347448410497,-0.00421502912926389,0.23738605638399216,0.0010283232453304424,0.2173316985314271,0.01428280500717092,0.21686186540671976,0.0009122159471686666,0.08462421837745868,0.08352046496511756
1.2087818800208294,0.24620027028970995,-0.003430824991920824,0.24617636468719137,0.0011068691008228693,0.22520553181283104,0.015185277125655037,0.2246929881365173,0.0009796721958444073,0.08527504235545266,0.08141527572506568
1.2155807475221312,0.2550075628310613,-0.0025095650756402276,0.25499521404169295,0.0011877267616787442,0.23311735096309436,0.016109469064086522,0.23256006606148816,0.0010498823226106598,0.08584142221095176,0.07900096548749991
1.2223796150234332,0.2638379550219456,-0.0014451123440537336,0.2638339973552978,0.0012726982215423828,0.24106730709490876,0.017054753511742994,0.24046326524574338,0.0011228840311604256,0.08630542912274636,0.07628330285787799
1.229178482524735,0.27269228756943403,-0.00022900852956773388,0.27269219140808615,0.0013609526433681891,0.24905555162546858,0.01802049102451937,0.24840275702717485,0.0011987154215921615,0.08667915090171727,0.07325839598763075
1.2352941176470589,0.2806757901021529,0.0010009121928776666,0.280674005430232,0.0014431577915371726,0.25627352198708736,0.018905876134202016,0.2555752059947607,0.0012694750760827895,0.08694112201905349,0.07027325003422846
1.2359773500260367,0.28156875374809914,0.0011465828317193238,0.28156641922478554,0.0014525080186862322,0.2570818382894923,0.01900576150136125,0.25637833880431093,0.0012775267776727994,0.08696602564258119,0.06992421147350747
1.2427762175273387,0.29046556595466455,0.0026895976058844157,0.2904531133764656,0.0015473783338677564,0.26514671054227434,0.0200101629027879,0.2643905661932598,0.0013592471058636764,0.0871664609509753,0.06628034811201822
1.249150170057281,0.2988232312226876,0.004295375644571003,0.2987923581125191,0.0016393447567847194,0.2727427653530175,0.02096859113786627,0.2719355332392296,0.001438525534713689,0.08727723665578915,0.06258160608582908
1.2495750850286405,0.2993809217895747,0.004408066439436325,0.2993484679797793,0.0016455837595008946,0.27325036604023384,0.0210330478638973,0.27243966935576175,0.0014439030758869706,0.08728196704433691,0.062325282275823346
1.2563739525299422,0.3083128980236368,0.006310081681507287,0.30824831866030705,0.0017471858864489963,0.2813929393023749,0.022073712366409325,0.2805258232526822,0.0015315396653460987,0.087313761097332,0.058057202913728505
1.2631728200312442,0.3172598909872567,0.008403963083504636,0.3171485642939868,0.0018521360560091909,0.28957457659498737,0.023131445813573393,0.28864921899208373,0.0016221991452001307,0.08726383378030403,0.053473680554524616
1.269971687532546,0.32622012842291903,0.010698094490996199,0.3260446640608116,0.001960439739544452,0.2977954258069332,0.024205523777007656,0.29681005415958095,0.0017159239453375659,0.08713350323722338,0.04857218191691559
1.2767705550338477,0.33519183350728393,0.013200987003223688,0.334931782893346,0.0020720996998080015,0.3060556390243886,0.025295209305800183,0.3050085352327089,0.001812755954228929,0.08692393898153307,0.04334987239499233
1.2803921568627452,0.33997492286365033,0.014622412964347456,0.3396603203426109,0.0021329485671801093,0.31047178881050985,0.025881773148113428,0.30939112053500734,0.001865618870334625,0.0867803242798968,0.040436036069810825
