t_msp_d,beta,d,V2,V3,abs_V3_over_V2
0.1000,1.0000,0.1000,-1.5230441182e+03,-5.5064922322e-01,3.6154515594e-04
0.3000,1.0000,0.3000,-3.8536869883e+01,-2.2066834308e-01,5.7261615630e-03
0.5000,1.0000,0.5000,-5.4286721054e+00,-1.1289805576e-01,2.0796624583e-02
1.0000,1.0000,1.0000,-3.0159289474e-01,-2.8489649220e-02,9.4463927090e-02
1.5000,1.0000,1.5000,-2.0106192983e-01,-8.5034381183e-03,4.2292631556e-02
2.0000,1.0000,2.0000,-2.2619467106e-01,-2.7417747126e-03,1.2121305510e-02
3.0000,1.0000,3.0000,-2.3457225147e-01,-3.2199382125e-04,1.3726850437e-03
5.0000,1.0000,5.0000,-1.9543219579e-01,-5.6402570312e-06,2.8860429103e-05
