g0,A_tail,B_tail,C_tail,phase_rad,phase_deg,rmse_tail,A_tail_altwin,B_tail_altwin,C_tail_altwin,phase_rad_altwin,phase_deg_altwin,dphi_altwin_rad,rel_delta_A_altwin
1.1,0.1104392314202878,-0.004630182634488148,0.11034212815364389,1.6127337803225317,92.40283909065951,0.00021985778912633134,0.11048782784959209,-0.004609332120897945,0.1103916399023058,1.6125264455460666,92.39095968302178,0.00020733477646484033,0.00044002868074430773
1.1450980392156864,0.16533112081498783,-0.006446524615431653,0.16520539286089522,1.6097978117673843,92.23462048366645,0.0004948640470762822,0.1654392948210972,-0.006393636635335352,0.16531570306984517,1.609452374286195,92.21482837390867,0.0003454374811893146,0.0006542870185367611
1.1901960784313725,0.2222783718250224,-0.00527405084149839,0.22221579369816227,1.5945257872422227,91.3595979337544,0.0008997806938017493,0.22247254660104246,-0.00516521777624308,0.22241257724435684,1.5940157397723302,91.33037436637824,0.0005100474698922497,0.000873565765421836
1.2352941176470589,0.2806757901021529,0.0010009121928776666,0.280674005430232,1.5672302396950932,89.79567825980521,0.0014431577915371726,0.2809829018558439,0.0012122558506275796,0.2809802868015538,1.5664819731335902,89.75280574388033,0.0007482665615032857,0.0010941868323564733
1.249150170057281,0.2988232312226876,0.004295375644571003,0.2987923581125191,1.556421528826252,89.17638474504344,0.0016393447567847194,0.2991703333268449,0.004547706549493901,0.29913576634704714,1.5555946800988232,89.129009802666,0.000826848727428775,0.0011615633186785807
1.2803921568627452,0.33997492286365033,0.014622412964347456,0.3396603203426109,1.5277727858495134,87.53493268412126,0.0021329485671801093,0.34042088788247227,0.014989126645380898,0.3400907334654967,1.526750926663138,87.47638446548528,0.0010218591863750959,0.0013117585705013732
1.3254901960784315,0.3996553980577642,0.03803704705186461,0.39784119978740784,1.4754774416948717,84.53863017587615,0.002969943458206915,0.4002625927795459,0.03863808827433302,0.3983933248852313,1.4741139249944937,84.46050642364888,0.0013635167003780424,0.0015192956850640666
1.3705882352941177,0.45918032027739075,0.07397571950140894,0.453182258538765,1.4089873112170834,80.72902632022472,0.003943480921359968,0.4599596045019311,0.07492699037500798,0.4538158039192954,1.407168067289046,80.62479132124338,0.0018192439280371175,0.0016971202600093065
1.415686274509804,0.517864711547707,0.12549149640911755,0.5024298396745462,1.3260349040542312,75.97620348934251,0.005050779622803099,0.5188194025501199,0.12689165505658742,0.5030627002069061,1.3237121875452453,75.84312163637226,0.002322716508985856,0.001843514302335346
1.4607843137254903,0.5748369566543216,0.19602943913267828,0.5403794830754864,1.222797302304102,70.06112462200771,0.006263467532224778,0.5759440719663612,0.19798552399781744,0.5408449928773518,1.2198802020339605,69.89398708811213,0.0029171002701415816,0.0019259640481073454
1.5058823529411764,0.628722696215383,0.2892851814368344,0.558217083702567,1.0926708228372042,62.60542654565869,0.00754209709885211,0.6299161116851761,0.2918488542640933,0.5582280484043303,1.0890653589418868,62.39884868127021,0.003605463895317129,0.0018981587224016694
